Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
05/09/2023,09:00:14,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:15,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:16,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:17,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:18,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:19,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:20,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:21,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:22,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:23,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:24,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:25,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:26,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:27,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:00:28,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:06,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:07,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:08,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:09,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:10,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:11,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:12,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:13,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:14,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:15,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:01:16,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:45,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:46,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:47,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:48,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:49,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:50,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:51,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:03:52,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:03,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:04,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:05,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:06,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:07,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:08,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:09,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:10,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:11,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:12,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:13,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:14,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:15,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:16,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:17,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:18,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:19,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:20,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:21,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:40,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:41,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:54,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:55,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:56,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:24:57,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:00,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:00,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:01,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:02,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:03,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:25:04,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:23,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:24,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:25,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:26,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:27,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:29,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:57,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:26:58,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:27:25,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:27:26,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:27:45,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:27:46,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:28:10,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:28:11,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:28:12,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:51:28,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:51:29,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:39,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:40,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:41,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:55,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:55,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:56,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:57,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:58,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:57:59,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:58:00,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:58:01,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:58:03,0.00,0.00,0.00,0.00,0.00
05/09/2023,09:58:04,0.00,0.00,0.00,0.00,0.00
