Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out,PowerSetSpecPower,SpecificPower
06/09/2023,11:21:28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/09/2023,11:21:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/09/2023,11:21:30,0.00,0.00,7.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:31,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:32,0.00,0.00,8.00,235.41,0.00,34.00,0.00
06/09/2023,11:21:33,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:34,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:35,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:36,0.00,0.00,8.00,235.41,0.00,34.00,0.00
06/09/2023,11:21:37,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:38,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:39,0.00,0.00,8.50,235.41,0.00,34.00,0.00
06/09/2023,11:21:40,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:41,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:42,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:43,0.00,0.00,8.50,235.41,0.00,34.00,0.00
06/09/2023,11:21:44,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:45,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:46,0.00,0.00,8.00,235.41,0.00,34.00,0.00
06/09/2023,11:21:47,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:48,0.00,0.00,7.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:49,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:50,0.00,0.00,8.00,235.41,0.00,34.00,0.00
06/09/2023,11:21:51,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:52,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:53,0.00,0.00,8.50,234.35,0.00,34.00,0.00
06/09/2023,11:21:54,0.00,0.00,8.00,235.41,0.00,34.00,0.00
06/09/2023,11:21:55,0.00,0.00,8.00,234.35,0.00,34.00,0.00
06/09/2023,11:21:56,0.00,0.00,8.00,234.35,0.00,34.00,0.00
